WT10,WT8,WT7,WT6,WT5,WT3,WT2
4,43,35,42,24,90,54
7,62,37,43,39,91,56
9,64,39,44,43,93,58
10,66,44,45,52,96,59
24,68,46,46,58,100,60
69,71,51,47,60,105,62
71,72,55,48,73,106,63
76,82,57,53,74,107,64
78,83,59,54,75,,65
81,84,63,60,77,,68
86,86,65,,105,,69
,89,,,107,,70
,91,,,,,71
,95,,,,,74
,,,,,,75
,,,,,,76
,,,,,,77
,,,,,,80
,,,,,,81
,,,,,,82
,,,,,,83
,,,,,,84
,,,,,,85
,,,,,,86
,,,,,,87
