noEDTA2,noEDTA3,noEDTA4,noEDTA5
0,1,24,2
1,4,25,5
2,6,26,7
3,7,29,8
4,8,30,10
7,9,31,11
9,12,32,26
12,13,34,27
13,14,45,30
17,15,50,43
27,16,55,44
28,18,65,47
29,28,75,52
30,38,77,53
31,39,87,55
34,40,92,57
36,46,93,59
37,51,100,64
39,53,109,68
40,69,114,79
42,71,122,93
43,73,128,96
44,83,144,98
46,90,173,100
48,92,182,106
